device_type,percentage,count
xeoncpu,0.69,345
xeongpu,0.082,41
nuc,0.028,14
nano,0.044,22
rockpi,0.02,10
tx2,0.018,9
nx,0.008,4
coral,0.01,5
rpi4,0.046,23
rpi3,0.054,27
